FUND,,Security Code,Name of Security,Quantity (Share),Buy/Sell,Broker,Trade Date,Settlement Date,Avg. Dealing Price
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2018.0,AAC TECHNOLOGIES HOLDINGS INC,100000.0,Sell,CHINA EVERBRIGHT SECURITI,42019.0,42023.0,45.6179
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2357.0,AVICHINA INDUSTRY & TECHNOLOGY CO LTD,1000000.0,Sell,CHINA EVERBRIGHT SECURITI,42019.0,42023.0,5.0274
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836.0,CHINA HARMONY AUTO HOLDING LTD,150000.0,Sell,BANK OF AMERICA MERRILL,42019.0,42023.0,5.9688
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6899.0,OURGAME INTERNATIONAL HOLDINGS LTD,200000.0,Sell,CHINA EVERBRIGHT SECURITI,42019.0,42023.0,2.8103
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,182.0,CHINA WINDPOWER GROUP LTD,2000000.0,Sell,CHINA CONSTRUCTION BANK,42020.0,42024.0,0.47
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,182.0,CHINA WINDPOWER GROUP LTD,2000000.0,Sell,HAITONG SECURITIES CO LTD,42020.0,42024.0,0.462
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,606.0,CHINA AGRI-INDUSTRIES HOLDINGS LTD,1982000.0,Sell,CHINA CONSTRUCTION BANK,42020.0,42024.0,3.1045
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916.0,CHINA LONGYUAN POWER GROUP CORP,4000000.0,Sell,BANK OF AMERICA MERRILL,42020.0,42024.0,8.5124
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958.0,HUANENG RENEWABLES CORP LTD,2500000.0,Sell,HAITONG SECURITIES CO LTD,42020.0,42024.0,2.6928
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1370.0,HENGSHI MINING INVESTMENTS LTD,20000.0,Sell,CHINA CONSTRUCTION BANK,42020.0,42024.0,2.49
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1900.0,CHINA ITS HOLDINGS CO LTD,200000.0,Sell,HAITONG SECURITIES CO LTD,42020.0,42024.0,0.98
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2018.0,AAC TECHNOLOGIES HOLDINGS INC,200000.0,Sell,HAITONG SECURITIES CO LTD,42020.0,42024.0,46.0338
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,3836.0,CHINA HARMONY AUTO HOLDING LTD,150000.0,Sell,CHINA CONSTRUCTION BANK,42020.0,42024.0,5.8068
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6899.0,OURGAME INTERNATIONAL HOLDINGS LTD,300000.0,Sell,HAITONG SECURITIES CO LTD,42020.0,42024.0,2.8873
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,6899.0,OURGAME INTERNATIONAL HOLDINGS LTD,200000.0,Sell,HAITONG SECURITIES CO LTD,42020.0,42024.0,2.8873
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1816.0,CGN POWER CO LTD,850000.0,Buy,HAITONG SECURITIES CO LTD,42023.0,42025.0,3.0765
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,2388.0,BOC HONG KONG HOLDINGS LTD,300000.0,Buy,HAITONG SECURITIES CO LTD,42023.0,42025.0,26.0506
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,82.0,V1 GROUP LTD,1406000.0,Sell,HAITONG SECURITIES CO LTD,42023.0,42025.0,0.6001
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,916.0,CHINA LONGYUAN POWER GROUP CORP,19000.0,Sell,CHINA CONSTRUCTION BANK,42023.0,42025.0,8.5011
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,958.0,HUANENG RENEWABLES CORP LTD,1324000.0,Sell,HAITONG SECURITIES CO LTD,42023.0,42025.0,2.6744
CLT-CLI HK BR (CLASS A-HK) Trust Fund,,1068.0,CHINA YURUN FOOD GROUP LTD,292000.0,Sell,HAITONG SECURITIES CO LTD,42023.0,42025.0,3.0202
